id_reporte,fecha_reporte,año,entidad_federativa,alcaldia_municipio,tipo_reporte,tipo_animal,genero_animal,genero_reportante,edad_reportante_rango,instancia_atiende,estatus_atencion,medio_denuncia
MX-MA-00001,24/11/2022,2022,Ciudad de México,Venustiano Carranza,Hacinamiento,Perro,Hembra,Mujer,41-50,Fiscalía General de Justicia,Recibido,Redes sociales
MX-MA-00002,27/02/2025,2025,Ciudad de México,Iztapalapa,Criadero clandestino,Perro,Hembra,Mujer,21-30,Brigada de Vigilancia Animal,Recibido,Teléfono
MX-MA-00003,13/01/2024,2024,Hidalgo,Municipio 13,Falta de alimento,Perro,Macho,Mujer,51-60,Consejo Ciudadano,Concluido sin infracción,Teléfono
MX-MA-00004,21/05/2023,2023,Ciudad de México,Coyoacán,Falta de alimento,Perro,Hembra,Mujer,41-50,Brigada de Vigilancia Animal,En investigación,Redes sociales
MX-MA-00005,06/05/2021,2021,Ciudad de México,Tlalpan,Hacinamiento,Perro,Hembra,Mujer,21-30,PROFEPA,Con sanción,Chat
MX-MA-00006,25/04/2021,2021,Ciudad de México,Iztacalco,Otro,Perro,Hembra,Mujer,60+,PAOT,Canalizado,Presencial
MX-MA-00007,13/03/2019,2019,Ciudad de México,Álvaro Obregón,Abandono,Perro,No especificado,Hombre,31-40,PAOT,Canalizado,Chat
MX-MA-00008,22/02/2025,2025,Ciudad de México,Benito Juárez,Animal amarrado,Perro,Macho,Mujer,18-20,PROFEPA,Canalizado,Presencial
MX-MA-00009,13/12/2023,2023,Ciudad de México,Cuauhtémoc,Falta de atención veterinaria,Perro,Hembra,Mujer,41-50,Brigada de Vigilancia Animal,Concluido sin infracción,Chat
MX-MA-00010,06/10/2024,2024,Ciudad de México,Gustavo A. Madero,Otro,Perro,Macho,Hombre,21-30,PROFEPA,En investigación,Correo electrónico
MX-MA-00011,14/02/2019,2019,Ciudad de México,Benito Juárez,Criadero clandestino,Perro,Hembra,Mujer,51-60,PAOT,Recibido,Correo electrónico
MX-MA-00012,30/10/2025,2025,Baja California,Municipio 11,Otro,Perro,Macho,Mujer,51-60,Brigada de Vigilancia Animal,Canalizado,Teléfono
MX-MA-00013,04/08/2024,2024,Ciudad de México,Benito Juárez,Falta de alimento,Conejo,Macho,Mujer,60+,PAOT,En investigación,Presencial
MX-MA-00014,17/01/2021,2021,Ciudad de México,Venustiano Carranza,Falta de alimento,Perro,Macho,Mujer,31-40,PAOT,Canalizado,Presencial
MX-MA-00015,16/01/2021,2021,Ciudad de México,Tlalpan,Falta de atención veterinaria,Perro,Hembra,Mujer,31-40,PAOT,Concluido sin infracción,Teléfono
MX-MA-00016,17/02/2021,2021,Estado de México,Municipio 14,Criadero clandestino,Perro,Macho,Mujer,51-60,PAOT,Canalizado,Chat
MX-MA-00017,22/04/2021,2021,Querétaro,Municipio 13,Animal amarrado,Perro,Hembra,Mujer,21-30,PAOT,Concluido sin infracción,Teléfono
MX-MA-00018,30/04/2023,2023,Jalisco,Municipio 15,Agresión física,Gato,Macho,Hombre,41-50,Consejo Ciudadano,Canalizado,Presencial
MX-MA-00019,16/09/2022,2022,Ciudad de México,Iztapalapa,Peleas clandestinas,Perro,Macho,Mujer,41-50,PAOT,Concluido sin infracción,Teléfono
MX-MA-00020,05/11/2021,2021,Hidalgo,Municipio 13,Falta de alimento,Gato,Hembra,Mujer,18-20,PROFEPA,Concluido sin infracción,Teléfono
MX-MA-00021,14/01/2023,2023,Ciudad de México,Benito Juárez,Animal amarrado,Perro,Macho,Hombre,31-40,PAOT,Canalizado,Chat
MX-MA-00022,15/10/2021,2021,Ciudad de México,Álvaro Obregón,Hacinamiento,Ave de corral,Macho,Mujer,51-60,Fiscalía General de Justicia,Concluido sin infracción,Chat
MX-MA-00023,12/04/2021,2021,Ciudad de México,Azcapotzalco,Hacinamiento,Perro,Hembra,Hombre,51-60,Brigada de Vigilancia Animal,Con sanción,Presencial
MX-MA-00024,29/11/2022,2022,Ciudad de México,Iztacalco,Maltrato en azotea,Perro,Macho,Mujer,18-20,PAOT,Canalizado,Correo electrónico
MX-MA-00025,26/12/2022,2022,Ciudad de México,Cuauhtémoc,Animal amarrado,Perro,Macho,Hombre,18-20,Brigada de Vigilancia Animal,Canalizado,Chat
MX-MA-00026,06/10/2024,2024,Ciudad de México,Cuauhtémoc,Falta de atención veterinaria,Perro,Macho,Mujer,21-30,Brigada de Vigilancia Animal,Con sanción,Teléfono
MX-MA-00027,03/08/2021,2021,Ciudad de México,Benito Juárez,Hacinamiento,Perro,No especificado,Hombre,51-60,PROFEPA,Canalizado,Redes sociales
MX-MA-00028,23/04/2023,2023,Ciudad de México,Álvaro Obregón,Hacinamiento,Perro,Hembra,Hombre,21-30,PAOT,Recibido,Chat
MX-MA-00029,18/08/2023,2023,Estado de México,Municipio 6,Falta de atención veterinaria,Perro,Hembra,Mujer,41-50,Instituto de Bienestar Animal Estatal,Con sanción,Chat
MX-MA-00030,29/10/2019,2019,Ciudad de México,Iztacalco,Agresión física,Perro,Hembra,Mujer,21-30,Brigada de Vigilancia Animal,Recibido,Teléfono
